Subject#	Session#	Block#	Stim#	Trial#	Task	Numerosity	P_true	P_reported	x1	x2	CE	
7	1	1	118	1	1	400	0.9	0.0998217	0	0	0	
7	1	1	119	2	1	400	0.75	0.579611	0	0	0	
7	1	1	10	3	1	200	0.9	0.900178	0	0	0	
7	1	1	38	4	1	300	0.05	0.0594854	0	0	0	
7	1	1	60	5	1	500	0.9	0.881072	0	0	0	
7	1	1	133	6	1	400	0.95	0.919285	0	0	0	
7	1	1	232	7	1	300	0.9	0.864088	0	0	0	
7	1	1	269	8	1	600	0.95	0.924592	0	0	0	
7	1	1	85	9	1	400	0.4	0.452233	0	0	0	
7	1	1	219	10	1	500	0.6	0.454356	0	0	0	
7	1	1	92	11	1	400	0.4	0.47134	0	0	0	
7	1	1	109	12	1	300	0.99	0.979789	0	0	0	
7	1	1	146	13	1	300	0.95	0.952191	0	0	0	
7	1	1	170	14	1	200	0.01	0.0117187	0	0	0	
7	1	1	179	15	1	400	0.01	0.0170262	0	0	0	
7	1	1	108	16	1	200	0.05	0.0287024	0	0	0	
7	1	1	226	17	1	400	0.1	0.0509935	0	0	0	
7	1	1	246	18	1	200	0.95	0.916101	0	0	0	
7	1	1	134	19	1	200	0.4	0.696374	0	0	0	
7	1	1	99	20	1	500	0.01	0.0149032	0	0	0	
7	1	1	187	21	1	600	0.9	0.909732	0	0	0	
7	1	1	147	22	1	600	0.75	0.870457	0	0	0	
7	1	1	26	23	1	200	0.6	0.631624	0	0	0	
7	1	1	87	24	1	500	0.9	0.921408	0	0	0	
7	1	1	151	25	1	300	0.01	0.0180876	0	0	0	
7	1	1	230	26	1	600	0.99	0.968113	0	0	0	
7	1	1	286	27	1	600	0.01	0.0287024	0	0	0	
7	1	1	259	28	1	600	0.1	0.0849609	0	0	0	
7	1	1	142	29	1	300	0.01	0.0138417	0	0	0	
7	1	1	111	30	1	500	0.9	0.891686	0	0	0	
7	1	1	67	31	1	300	0.05	0.0584239	0	0	0	
7	1	1	40	32	1	300	0.75	0.774924	0	0	0	
7	1	1	183	33	1	200	0.95	0.889564	0	0	0	
7	1	1	284	34	1	600	0.99	0.968113	0	0	0	
7	1	1	221	35	1	400	0.4	0.579611	0	0	0	
7	1	1	141	36	1	500	0.4	0.548828	0	0	0	
7	1	1	189	37	1	600	0.6	0.552013	0	0	0	
7	1	1	79	38	1	300	0.95	0.866211	0	0	0	
7	1	1	268	39	1	300	0.99	0.980851	0	0	0	
7	1	1	263	40	1	500	0.75	0.85135	0	0	0	
7	1	1	107	41	1	600	0.95	0.927777	0	0	0	
7	1	1	21	42	1	600	0.5	0.69319	0	0	0	
7	1	1	201	43	1	600	0.9	0.913978	0	0	0	
7	1	1	77	44	1	300	0.01	0.0212721	0	0	0	
7	1	1	182	45	1	400	0.95	0.909732	0	0	0	
7	1	1	185	46	1	600	0.5	0.719727	0	0	0	
7	1	1	103	47	1	200	0.9	0.819506	0	0	0	
7	1	1	157	48	1	500	0.1	0.0690387	0	0	0	
7	1	1	252	49	1	500	0.5	0.510615	0	0	0	
7	1	1	174	50	1	400	0.9	0.675144	0	0	0	
7	1	1	166	51	1	400	0.6	0.584918	0	0	0	
7	1	1	168	52	1	300	0.9	0.733526	0	0	0	
7	1	1	177	53	1	500	0.05	0.0785921	0	0	0	
7	1	1	255	54	1	600	0.4	0.5	0	0	0	
7	1	1	84	55	1	200	0.4	0.444803	0	0	0	
7	1	1	120	56	1	600	0.6	0.5	0	0	0	
7	1	1	114	57	1	600	0.95	0.920346	0	0	0	
7	1	1	267	58	1	600	0.99	0.945822	0	0	0	
7	1	1	68	59	1	400	0.1	0.0945143	0	0	0	
7	1	1	135	60	1	300	0.1	0.0955757	0	0	0	
7	1	1	281	61	1	400	0.25	0.220831	0	0	0	
7	1	1	101	62	1	300	0.05	0.0849609	0	0	0	
7	1	1	61	63	1	300	0.99	0.961744	0	0	0	
7	1	1	165	64	1	200	0.5	0.5	0	0	0	
7	1	1	121	65	1	400	0.01	0.0127802	0	0	0	
7	1	1	192	66	1	400	0.25	0.382176	0	0	0	
