Subject#	Session#	Block#	Stim#	Trial#	Task	Numerosity	P_true	P_reported	x1	x2	CE	
16	1	1	148	1	2	0	0.95	0	150	100	137	
16	1	1	42	2	2	0	0.1	0	150	50	60	
16	1	1	99	3	2	0	0.6	0	50	25	39.5	
16	1	1	32	4	2	0	0.1	0	50	0	11	
16	1	1	78	5	2	0	0.5	0	75	0	31.5	
16	1	1	76	6	2	0	0.5	0	25	0	11.5	
16	1	1	14	7	2	0	0.01	0	200	100	110	
16	1	1	87	8	2	0	0.5	0	150	50	88	
16	1	1	157	9	2	0	0.99	0	400	0	216	
16	1	1	112	10	2	0	0.75	0	400	0	216	
16	1	1	98	11	2	0	0.6	0	800	0	272	
16	1	1	114	12	2	0	0.75	0	50	25	38.5	
16	1	1	91	13	2	0	0.6	0	25	0	13.5	
16	1	1	73	14	2	0	0.4	0	150	100	121	
16	1	1	151	15	2	0	0.99	0	25	0	17.5	
16	1	1	18	16	2	0	0.05	0	75	0	16.5	
16	1	1	140	17	2	0	0.95	0	150	0	81	
16	1	1	89	18	2	0	0.5	0	200	100	150	
16	1	1	53	19	2	0	0.25	0	800	0	176	
16	1	1	9	20	2	0	0.01	0	50	25	30.5	
16	1	1	153	21	2	0	0.99	0	75	0	40.5	
16	1	1	152	22	2	0	0.99	0	50	0	33	
16	1	1	85	23	2	0	0.5	0	75	50	61.5	
16	1	1	66	24	2	0	0.4	0	200	0	60	
16	1	1	62	25	2	0	0.4	0	50	0	19	
16	1	1	134	26	2	0	0.9	0	200	100	158	
16	1	1	63	27	2	0	0.4	0	75	0	28.5	
16	1	1	39	28	2	0	0.1	0	50	25	32.5	
16	1	1	47	29	2	0	0.25	0	50	0	17	
16	1	1	2	30	2	0	0.01	0	50	0	9	
16	1	1	108	31	2	0	0.75	0	75	0	37.5	
16	1	1	100	32	2	0	0.6	0	75	50	58.5	
16	1	1	44	33	2	0	0.1	0	200	100	122	
16	1	1	48	34	2	0	0.25	0	75	0	16.5	
16	1	1	41	35	2	0	0.1	0	100	50	63	
16	1	1	115	36	2	0	0.75	0	75	50	57.5	
16	1	1	54	37	2	0	0.25	0	50	25	32.5	
16	1	1	70	38	2	0	0.4	0	75	50	60.5	
16	1	1	109	39	2	0	0.75	0	100	0	42	
16	1	1	31	40	2	0	0.1	0	25	0	6.5	
16	1	1	6	41	2	0	0.01	0	200	0	20	
16	1	1	146	42	2	0	0.95	0	100	50	73	
16	1	1	118	43	2	0	0.75	0	150	100	129	
16	1	1	11	44	2	0	0.01	0	100	50	55	
16	1	1	46	45	2	0	0.25	0	25	0	7.5	
16	1	1	125	46	2	0	0.9	0	150	0	81	
