Subject#	Session#	Block#	Stim#	Trial#	Task	Numerosity	P_true	P_reported	x1	x2	CE	
13	1	1	12	1	2	0	0.99	0	25	0	24.5	
13	1	1	136	2	2	0	0.1	0	200	150	163	
13	1	1	60	3	2	0	0.25	0	150	0	51	
13	1	1	104	4	2	0	0.01	0	200	150	163	
13	1	1	44	5	2	0	0.05	0	25	0	5.5	
13	1	1	17	6	2	0	0.01	0	800	0	16	
13	1	1	93	7	2	0	0.75	0	100	0	70	
13	1	1	98	8	2	0	0.01	0	100	50	63	
13	1	1	154	9	2	0	0.75	0	150	0	99	
13	1	1	47	10	2	0	0.95	0	800	0	720	
13	1	1	62	11	2	0	0.9	0	150	50	124	
13	1	1	89	12	2	0	0.01	0	75	0	4.5	
13	1	1	83	13	2	0	0.75	0	800	0	560	
13	1	1	91	14	2	0	0.95	0	400	0	376	
13	1	1	24	15	2	0	0.95	0	100	0	90	
13	1	1	116	16	2	0	0.4	0	150	0	69	
13	1	1	119	17	2	0	0.05	0	150	0	33	
13	1	1	29	18	2	0	0.95	0	150	0	141	
13	1	1	74	19	2	0	0.05	0	150	50	72	
13	1	1	1	20	2	0	0.99	0	400	0	392	
13	1	1	158	21	2	0	0.99	0	200	150	197	
13	1	1	2	22	2	0	0.05	0	100	50	63	
13	1	1	36	23	2	0	0.95	0	200	150	191	
13	1	1	38	24	2	0	0.9	0	800	0	688	
13	1	1	18	25	2	0	0.75	0	200	150	191	
13	1	1	137	26	2	0	0.25	0	400	0	136	
13	1	1	59	27	2	0	0.75	0	50	25	42.5	
13	1	1	25	28	2	0	0.25	0	75	0	31.5	
13	1	1	39	29	2	0	0.6	0	150	100	135	
13	1	1	75	30	2	0	0.25	0	150	100	125	
13	1	1	4	31	2	0	0.9	0	50	0	43	
13	1	1	138	32	2	0	0.99	0	150	50	148	
13	1	1	21	33	2	0	0.05	0	800	0	80	
13	1	1	95	34	2	0	0.6	0	200	0	148	
13	1	1	134	35	2	0	0.6	0	50	25	45.5	
13	1	1	55	36	2	0	0.5	0	100	50	85	
13	1	1	148	37	2	0	0.99	0	200	0	196	
13	1	1	149	38	2	0	0.75	0	50	0	39	
13	1	1	57	39	2	0	0.5	0	150	100	135	
