Subject#	Session#	Block#	Stim#	Trial#	Task	Numerosity	P_true	P_reported	x1	x2	CE	
10	1	1	208	1	1	500	0.01	0.0117187	0	0	0	
10	1	1	168	2	1	600	0.1	0.0297639	0	0	0	
10	1	1	226	3	1	600	0.5	0.502123	0	0	0	
10	1	1	111	4	1	200	0.1	0.0849609	0	0	0	
10	1	1	103	5	1	600	0.5	0.503184	0	0	0	
10	1	1	130	6	1	200	0.9	0.902301	0	0	0	
10	1	1	41	7	1	500	0.95	0.979789	0	0	0	
10	1	1	308	8	1	500	0.05	0.0318869	0	0	0	
10	1	1	324	9	1	500	0.4	0.449049	0	0	0	
10	1	1	312	10	1	600	0.95	0.951129	0	0	0	
10	1	1	228	11	1	600	0.05	0.0170262	0	0	0	
10	1	1	122	12	1	400	0.1	0.922469	0	0	0	
10	1	1	227	13	1	600	0.9	0.496816	0	0	0	
10	1	1	107	14	1	400	0.25	0.454356	0	0	0	
10	1	1	90	15	1	400	0.75	0.600841	0	0	0	
10	1	1	89	16	1	400	0.1	0.0796535	0	0	0	
10	1	1	136	17	1	600	0.5	0.501061	0	0	0	
10	1	1	12	18	1	300	0.75	0.5	0	0	0	
10	1	1	113	19	1	400	0.01	0.00959579	0	0	0	
10	1	1	119	20	1	300	0.75	0.701681	0	0	0	
10	1	1	206	21	1	200	0.05	0.149711	0	0	0	
10	1	1	186	22	1	300	0.99	0.969175	0	0	0	
10	1	1	209	23	1	200	0.25	0.0998217	0	0	0	
10	1	1	274	24	1	200	0.01	0.0180876	0	0	0	
10	1	1	110	25	1	600	0.99	0.99465	0	0	0	
10	1	1	26	26	1	400	0.9	0.955375	0	0	0	
10	1	1	309	27	1	200	0.99	0.961744	0	0	0	
10	1	1	319	28	1	500	0.5	0.498939	0	0	0	
10	1	1	91	29	1	400	0.95	0.970236	0	0	0	
10	1	1	310	30	1	400	0.75	0.600841	0	0	0	
10	1	1	321	31	1	600	0.99	0.991466	0	0	0	
10	1	1	246	32	1	500	0.4	0.45011	0	0	0	
10	1	1	55	33	1	500	0.9	0.942638	0	0	0	
10	1	1	98	34	1	500	0.99	0.98722	0	0	0	
10	1	1	49	35	1	500	0.01	0.00534986	0	0	0	
10	1	1	282	36	1	500	0.5	0.5	0	0	0	
10	1	1	275	37	1	300	0.1	0.0499321	0	0	0	
10	1	1	286	38	1	300	0.05	0.0488706	0	0	0	
10	1	1	270	39	1	600	0.25	0.204908	0	0	0	
10	1	1	307	40	1	400	0.05	0.0711617	0	0	0	
10	1	1	44	41	1	500	0.25	0.145465	0	0	0	
10	1	1	277	42	1	500	0.4	0.247368	0	0	0	
10	1	1	151	43	1	600	0.05	0.0329484	0	0	0	
10	1	1	84	44	1	600	0.01	0.0191491	0	0	0	
10	1	1	306	45	1	500	0.4	0.400221	0	0	0	
10	1	1	329	46	1	600	0.05	0.0711617	0	0	0	
10	1	1	298	47	1	300	0.1	0.298319	0	0	0	
10	1	1	276	48	1	600	0.95	0.949006	0	0	0	
