Subject#	Session#	Block#	Stim#	Trial#	Task	Numerosity	P_true	P_reported	x1	x2	CE	
11	1	1	34	1	1	300	0.5	0.5	0	0	0	
11	1	1	185	2	1	400	0.4	0.443043	0	0	0	
11	1	1	105	3	1	200	0.99	0.987503	0	0	0	
11	1	1	264	4	1	400	0.99	0.997552	0	0	0	
11	1	1	159	5	1	300	0.05	0.014598	0	0	0	
11	1	1	17	6	1	300	0.75	0.784397	0	0	0	
11	1	1	178	7	1	500	0.95	0.922991	0	0	0	
11	1	1	298	8	1	400	0.25	0.402273	0	0	0	
11	1	1	15	9	1	500	0.75	0.697581	0	0	0	
11	1	1	311	10	1	500	0.95	0.896459	0	0	0	
11	1	1	165	11	1	600	0.25	0.736781	0	0	0	
11	1	1	173	12	1	500	0.99	0.992275	0	0	0	
11	1	1	24	13	1	500	0.9	0.894566	0	0	0	
11	1	1	21	14	1	300	0.75	0.830125	0	0	0	
11	1	1	149	15	1	300	0.4	0.433246	0	0	0	
11	1	1	291	16	1	200	0.9	0.793314	0	0	0	
11	1	1	145	17	1	600	0.1	0.121326	0	0	0	
11	1	1	247	18	1	200	0.5	0.502671	0	0	0	
11	1	1	6	19	1	300	0.05	0.0186803	0	0	0	
11	1	1	97	20	1	200	0.99	0.975818	0	0	0	
11	1	1	27	21	1	300	0.01	0.00565504	0	0	0	
11	1	1	321	22	1	400	0.01	0.00320037	0	0	0	
11	1	1	81	23	1	200	0.25	0.401871	0	0	0	
11	1	1	162	24	1	500	0.5	0.492915	0	0	0	
11	1	1	322	25	1	500	0.05	0.196164	0	0	0	
11	1	1	172	26	1	400	0.9	0.797993	0	0	0	
11	1	1	141	27	1	500	0.9	0.898378	0	0	0	
11	1	1	260	28	1	500	0.99	0.993261	0	0	0	
11	1	1	157	29	1	400	0.25	0.357797	0	0	0	
11	1	1	171	30	1	300	0.9	0.852562	0	0	0	
11	1	1	182	31	1	200	0.4	0.453414	0	0	0	
11	1	1	221	32	1	600	0.01	0.0220284	0	0	0	
11	1	1	164	33	1	600	0.01	0.0109182	0	0	0	
11	1	1	219	34	1	200	0.99	0.984995	0	0	0	
11	1	1	126	35	1	500	0.4	0.467731	0	0	0	
11	1	1	252	36	1	600	0.95	0.898272	0	0	0	
11	1	1	250	37	1	400	0.9	0.899307	0	0	0	
11	1	1	275	38	1	400	0.01	0.0154339	0	0	0	
11	1	1	156	39	1	300	0.99	0.987255	0	0	0	
11	1	1	181	40	1	500	0.9	0.901952	0	0	0	
11	1	1	110	41	1	500	0.6	0.550925	0	0	0	
11	1	1	236	42	1	400	0.5	0.498912	0	0	0	
11	1	1	92	43	1	500	0.95	0.890395	0	0	0	
11	1	1	55	44	1	500	0.5	0.499275	0	0	0	
11	1	1	289	45	1	200	0.99	0.997189	0	0	0	
11	1	1	51	46	1	300	0.95	0.982151	0	0	0	
11	1	1	93	47	1	600	0.01	0.0120328	0	0	0	
11	1	1	296	48	1	400	0.6	0.527904	0	0	0	
11	1	1	324	49	1	600	0.6	0.5	0	0	0	
11	1	1	134	50	1	400	0.95	0.907171	0	0	0	
11	1	1	174	51	1	600	0.05	0.0996624	0	0	0	
11	1	1	10	52	1	300	0.6	0.536696	0	0	0	
11	1	1	42	53	1	300	0.01	0.0128864	0	0	0	
11	1	1	193	54	1	400	0.5	0.475237	0	0	0	
11	1	1	284	55	1	300	0.1	0.0999101	0	0	0	
11	1	1	137	56	1	300	0.05	0.0514535	0	0	0	
11	1	1	301	57	1	500	0.01	0.0112942	0	0	0	
11	1	1	19	58	1	600	0.75	0.551769	0	0	0	
11	1	1	217	59	1	600	0.6	0.553919	0	0	0	
11	1	1	146	60	1	300	0.25	0.385223	0	0	0	
11	1	1	140	61	1	400	0.1	0.315369	0	0	0	
11	1	1	129	62	1	200	0.01	0.00463779	0	0	0	
11	1	1	123	63	1	300	0.01	0.00339055	0	0	0	
11	1	1	11	64	1	300	0.95	0.984942	0	0	0	
11	1	1	94	65	1	500	0.9	0.901098	0	0	0	
11	1	1	318	66	1	200	0.01	0.00592483	0	0	0	
11	1	1	231	67	1	600	0.1	0.81468	0	0	0	
11	1	1	223	68	1	500	0.6	0.583937	0	0	0	
11	1	1	100	69	1	200	0.75	0.796967	0	0	0	
11	1	1	316	70	1	400	0.99	0.988007	0	0	0	
11	1	1	103	71	1	600	0.6	0.64836	0	0	0	
11	1	1	169	72	1	600	0.9	0.767086	0	0	0	
11	1	1	35	73	1	200	0.01	0.0168802	0	0	0	
11	1	1	113	74	1	300	0.25	0.272861	0	0	0	
11	1	1	161	75	1	500	0.9	0.806419	0	0	0	
11	1	1	278	76	1	600	0.25	0.162184	0	0	0	
11	1	1	128	77	1	200	0.9	0.81085	0	0	0	
11	1	1	66	78	1	400	0.6	0.617891	0	0	0	
11	1	1	133	79	1	400	0.99	0.989754	0	0	0	
11	1	1	143	80	1	600	0.95	0.97021	0	0	0	
11	1	1	132	81	1	400	0.1	0.0796403	0	0	0	
11	1	1	96	82	1	200	0.4	0.480128	0	0	0	
11	1	1	95	83	1	300	0.6	0.464365	0	0	0	
11	1	1	215	84	1	400	0.4	0.45429	0	0	0	
11	1	1	121	85	1	400	0.75	0.580513	0	0	0	
11	1	1	71	86	1	200	0.9	0.846105	0	0	0	
11	1	1	187	87	1	600	0.9	0.8194	0	0	0	
11	1	1	205	88	1	300	0.25	0.187615	0	0	0	
11	1	1	148	89	1	600	0.4	0.480991	0	0	0	
11	1	1	233	90	1	500	0.6	0.553176	0	0	0	
11	1	1	294	91	1	600	0.4	0.463184	0	0	0	
11	1	1	320	92	1	200	0.95	0.950214	0	0	0	
11	1	1	283	93	1	200	0.05	0.0411748	0	0	0	
11	1	1	118	94	1	600	0.5	0.560748	0	0	0	
11	1	1	33	95	1	200	0.05	0.0933643	0	0	0	
11	1	1	312	96	1	200	0.6	0.563906	0	0	0	
11	1	1	327	97	1	200	0.95	0.917109	0	0	0	
11	1	1	286	98	1	300	0.1	0.102237	0	0	0	
11	1	1	313	99	1	600	0.1	0.0993573	0	0	0	
11	1	1	47	100	1	200	0.95	0.933929	0	0	0	
11	1	1	195	101	1	500	0.75	0.59786	0	0	0	
11	1	1	210	102	1	400	0.01	0.00906947	0	0	0	
11	1	1	120	103	1	500	0.6	0.581654	0	0	0	
11	1	1	240	104	1	600	0.1	0.343352	0	0	0	
11	1	1	8	105	1	600	0.75	0.581747	0	0	0	
11	1	1	9	106	1	400	0.99	0.982014	0	0	0	
11	1	1	288	107	1	300	0.01	0.0139611	0	0	0	
11	1	1	87	108	1	200	0.4	0.474847	0	0	0	
11	1	1	323	109	1	600	0.05	0.293396	0	0	0	
11	1	1	241	110	1	400	0.95	0.898524	0	0	0	
11	1	2	292	111	1	500	0.6	0.56567	0	0	0	
11	1	2	37	112	1	600	0.25	0.282312	0	0	0	
11	1	2	62	113	1	600	0.95	0.896768	0	0	0	
11	1	2	253	114	1	500	0.9	0.898453	0	0	0	
11	1	2	198	115	1	500	0.95	0.905349	0	0	0	
11	1	2	46	116	1	300	0.25	0.40057	0	0	0	
11	1	2	59	117	1	400	0.1	0.0970795	0	0	0	
11	1	2	272	118	1	400	0.4	0.5	0	0	0	
11	1	2	307	119	1	600	0.1	0.0988486	0	0	0	
11	1	2	244	120	1	200	0.75	0.861947	0	0	0	
11	1	2	249	121	1	600	0.99	0.952509	0	0	0	
11	1	2	124	122	1	400	0.05	0.0486981	0	0	0	
11	1	2	305	123	1	500	0.4	0.604388	0	0	0	
11	1	2	184	124	1	200	0.4	0.461145	0	0	0	
11	1	2	29	125	1	500	0.75	0.60529	0	0	0	
11	1	2	201	126	1	200	0.25	0.399827	0	0	0	
11	1	2	246	127	1	600	0.6	0.599456	0	0	0	
