Subject#	Target_color	Block#	Trial#	Numerosity	N_target	P_true	P_reported	RT	
1	1	1	1	200	64	0.32	0.44	29.0513	
1	1	1	2	600	102	0.17	0.2	8.47648	
1	1	1	3	600	300	0.5	0.775	4.46551	
1	1	1	4	600	378	0.63	0.775	2.94817	
1	1	1	5	500	320	0.64	0.8	4.7533	
1	1	1	6	400	384	0.96	0.95	1.9713	
1	1	1	7	300	129	0.43	0.4	6.77345	
1	1	1	8	200	122	0.61	0.55	8.29314	
1	1	1	9	500	250	0.5	0.7	1.97422	
1	1	1	10	400	8	0.02	0.05	4.142	
1	1	1	11	200	32	0.16	0.22	19.8065	
1	1	1	12	200	108	0.54	0.5	6.65896	
1	1	1	13	300	72	0.24	0.075	5.03124	
1	1	1	14	300	201	0.67	0.8	1.93417	
1	1	1	15	500	440	0.88	0.88	3.79135	
1	1	1	16	500	105	0.21	0.175	5.58736	
1	1	1	17	500	380	0.76	0.8	1.31684	
1	1	1	18	200	52	0.26	0.44	8.52895	
1	1	1	19	400	272	0.68	0.8	1.33999	
1	1	1	20	200	36	0.18	0.15	2.08615	
1	1	1	21	300	219	0.73	0.8	2.36411	
1	1	1	22	500	50	0.1	0.25	1.97	
1	1	1	23	500	370	0.74	0.8	2.77414	
1	1	1	24	300	21	0.07	0.2	12.2074	
1	1	1	25	300	243	0.81	0.88	1.60658	
1	1	1	26	400	224	0.56	0.77	1.12626	
1	1	1	27	400	340	0.85	0.9	1.32284	
1	1	1	28	600	186	0.31	0.3	2.81781	
1	1	1	29	400	288	0.72	0.7	1.3796	
1	1	1	30	400	380	0.95	0.9	1.52412	
1	1	1	31	500	135	0.27	0.35	2.69939	
1	1	1	32	400	264	0.66	0.75	2.38512	
1	1	1	33	500	225	0.45	0.45	3.26459	
1	1	1	34	200	22	0.11	0.2	4.58949	
1	1	1	35	400	140	0.35	0.4	4.72791	
1	1	1	36	400	32	0.08	0.2	1.72424	
1	1	1	37	500	345	0.69	0.775	2.40993	
1	1	1	38	200	96	0.48	0.4	3.85337	
1	1	1	39	200	158	0.79	0.9	3.15618	
1	1	1	40	200	72	0.36	0.8	6.50371	
1	1	1	41	600	546	0.91	0.85	1.65687	
1	1	1	42	600	168	0.28	0.06	11.4197	
1	1	1	43	600	504	0.84	0.8	1.86454	
1	1	1	44	500	390	0.78	0.8	1.59294	
1	1	1	45	300	282	0.94	0.9	1.10315	
1	1	1	46	200	18	0.09	0.15	2.54777	
1	1	1	47	500	255	0.51	0.8	1.42358	
1	1	1	48	600	450	0.75	0.85	3.23367	
1	1	1	49	200	50	0.25	0.35	7.53681	
1	1	1	50	200	110	0.55	0.5	1.23137	
1	1	1	51	600	132	0.22	0.45	2.15616	
1	1	1	52	500	300	0.6	0.4	1.74222	
1	1	1	53	500	465	0.93	0.85	2.58658	
1	1	1	54	400	360	0.9	0.9	0.874221	
1	1	1	55	300	267	0.89	0.9	0.879231	
1	1	1	56	600	18	0.03	0.1	1.10602	
1	1	1	57	500	415	0.83	0.8	3.68099	
1	1	1	58	400	4	0.01	0.99	2.95689	
1	1	1	59	300	18	0.06	0.98	1.83727	
1	1	1	60	400	132	0.33	0.75	6.21548	
1	1	1	61	600	426	0.71	0.65	3.38201	
1	1	1	62	400	136	0.34	0.35	2.48523	
1	1	1	63	200	24	0.12	0.3	2.2213	
1	1	1	64	200	38	0.19	0.3	0.943497	
1	1	1	65	500	65	0.13	0.3	1.86798	
1	1	1	66	300	60	0.2	0.275	1.27221	
1	1	1	67	300	210	0.7	0.5	0.716905	
1	1	1	68	400	16	0.04	0.1	1.20605	
1	1	1	69	600	348	0.58	0.65	1.72693	
1	1	1	70	300	141	0.47	0.445	3.89714	
1	1	1	71	400	208	0.52	0.55	2.85627	
1	1	1	72	600	462	0.77	0.65	2.39162	
1	1	1	73	300	291	0.97	0.95	1.44632	
1	1	1	74	600	276	0.46	0.45	1.0371	
1	1	1	75	200	30	0.15	0.85	6.35763	
1	1	1	76	600	594	0.99	0.95	1.98735	
1	1	1	77	600	228	0.38	0.45	5.26851	
1	1	1	78	400	212	0.53	0.5	0.936368	
1	1	1	79	500	200	0.4	0.4	0.917433	
1	1	1	80	300	15	0.05	0.15	1.33494	
1	1	1	81	200	124	0.62	0.8	2.09978	
1	1	1	82	400	168	0.42	0.55	5.33148	
1	1	1	83	300	171	0.57	0.45	2.63604	
1	1	1	84	600	180	0.3	0.25	2.73947	
1	1	1	85	600	480	0.8	0.85	3.64519	
1	1	1	86	300	258	0.86	0.9	1.73597	
1	1	1	87	300	276	0.92	0.9	1.36034	
1	1	1	88	300	246	0.82	0.8	0.643101	
1	1	1	89	200	58	0.29	0.25	3.67021	
1	1	1	90	400	196	0.49	0.4	6.11937	
1	1	1	91	300	111	0.37	0.3	2.85648	
1	1	1	92	300	42	0.14	0.2	1.47195	
1	1	1	93	200	118	0.59	0.55	3.10827	
1	1	1	94	200	196	0.98	0.99	1.60146	
1	1	1	95	500	195	0.39	0.4	1.14943	
1	1	1	96	500	325	0.65	0.6	1.76235	
1	1	1	97	400	176	0.44	0.4	1.76261	
1	1	1	98	600	522	0.87	0.775	3.19295	
1	1	1	99	500	205	0.41	0.5	2.84448	
1	1	1	100	600	138	0.23	0.4	2.52239	
1	1	2	101	500	180	0.36	0.45	1.1762	
1	1	2	102	400	292	0.73	0.7	1.0219	
1	1	2	103	200	10	0.05	0.925	2.32316	
1	1	2	104	600	576	0.96	0.85	1.18719	
1	1	2	105	500	485	0.97	0.85	1.23779	
1	1	2	106	300	156	0.52	0.4	4.82615	
1	1	2	107	400	88	0.22	0.3	0.97086	
1	1	2	108	300	195	0.65	0.5	1.79375	
1	1	2	109	500	460	0.92	0.855	1.6198	
1	1	2	110	300	231	0.77	0.66	5.37309	
1	1	2	111	300	39	0.13	0.25	2.87866	
1	1	2	112	600	186	0.31	0.3	3.13245	
1	1	2	113	400	24	0.06	0.2	1.5661	
1	1	2	114	600	384	0.64	0.7	1.6342	
1	1	2	115	500	400	0.8	0.66	3.92299	
1	1	2	116	300	75	0.25	0.2	1.99573	
1	1	2	117	600	306	0.51	0.6	4.73389	
1	1	2	118	500	240	0.48	0.6	0.838509	
1	1	2	119	600	456	0.76	0.7	3.65735	
1	1	2	120	300	84	0.28	0.2	0.781062	
1	1	2	121	400	324	0.81	0.875	1.52794	
1	1	2	122	300	120	0.4	0.25	2.68062	
1	1	2	123	600	180	0.3	0.65	4.39883	
1	1	2	124	500	315	0.63	0.75	3.54891	
1	1	2	125	200	24	0.12	0.15	2.54723	
1	1	2	126	200	20	0.1	0.15	1.49066	
1	1	2	127	300	48	0.16	0.2	1.1189	
1	1	2	128	300	105	0.35	0.33	0.47119	
1	1	2	129	600	336	0.56	0.8	2.09906	
1	1	2	130	600	498	0.83	0.7	2.06319	
1	1	2	131	200	94	0.47	0.44	7.43537	
1	1	2	132	500	335	0.67	0.775	2.55799	
1	1	2	133	500	470	0.94	0.9	1.01089	
1	1	2	134	400	356	0.89	0.9	1.67401	
1	1	2	135	600	546	0.91	0.9	2.25402	
1	1	2	136	600	558	0.93	0.9	0.45823	
1	1	2	137	500	435	0.87	0.885	1.29786	
1	1	2	138	600	444	0.74	0.825	1.17782	
1	1	2	139	500	170	0.34	0.45	1.10095	
1	1	2	140	400	316	0.79	0.675	2.03159	
1	1	2	141	600	348	0.58	0.6	1.05165	
1	1	2	142	500	205	0.41	0.45	1.15074	
1	1	2	143	500	145	0.29	0.35	2.19744	
1	1	2	144	600	372	0.62	0.45	0.743788	
1	1	2	145	600	138	0.23	0.3	0.992962	
1	1	2	146	500	375	0.75	0.5	1.37973	
1	1	2	147	300	210	0.7	0.8	2.19407	
1	1	2	148	300	198	0.66	0.85	2.27203	
1	1	2	149	200	86	0.43	0.4	3.02394	
1	1	2	150	400	380	0.95	0.85	0.957438	
1	1	2	151	300	51	0.17	0.15	1.89607	
1	1	2	152	300	33	0.11	0.1	0.850658	
1	1	2	153	400	392	0.98	0.98	0.899625	
1	1	2	154	400	276	0.69	0.8	2.55412	
1	1	2	155	200	114	0.57	0.8	1.72413	
1	1	2	156	200	84	0.42	0.4	1.61673	
1	1	2	157	300	111	0.37	0.3	1.5892	
1	1	2	158	500	250	0.5	0.6	1.38398	
1	1	2	159	300	264	0.88	0.8	2.1629	
1	1	2	160	500	120	0.24	0.7	9.25664	
1	1	2	161	200	28	0.14	0.1	2.44821	
1	1	2	162	200	92	0.46	0.22	1.82143	
1	1	2	163	300	270	0.9	0.775	1.17283	
1	1	2	164	600	432	0.72	0.7	0.77484	
1	1	2	165	300	21	0.07	0.8	0.961686	
1	1	2	166	500	95	0.19	0.85	3.79774	
1	1	2	167	200	108	0.54	0.5	0.946694	
1	1	2	168	500	300	0.6	0.4	1.53068	
1	1	2	169	200	100	0.5	0.45	1.88919	
1	1	2	170	200	52	0.26	0.45	1.06996	
1	1	2	171	600	54	0.09	0.2	0.945022	
1	1	2	172	600	12	0.02	0.09	1.46604	
1	1	2	173	600	468	0.78	0.775	0.9749	
1	1	2	174	200	136	0.68	0.7	0.889	
1	1	2	175	400	212	0.53	0.5	0.927821	
1	1	2	176	300	114	0.38	0.45	1.41112	
1	1	2	177	300	246	0.82	0.65	0.955766	
1	1	2	178	200	122	0.61	0.55	3.48075	
1	1	2	179	400	4	0.01	0.05	2.79426	
1	1	2	180	200	168	0.84	0.9	1.33793	
1	1	2	181	500	495	0.99	0.95	0.460772	
1	1	2	182	600	294	0.49	0.6	1.57413	
1	1	2	183	300	45	0.15	0.85	1.3463	
1	1	2	184	400	176	0.44	0.55	2.24089	
1	1	2	185	400	344	0.86	0.65	0.839093	
1	1	2	186	500	105	0.21	0.3	2.97416	
1	1	2	187	400	236	0.59	0.45	2.50229	
1	1	2	188	600	330	0.55	0.55	1.55988	
1	1	2	189	200	170	0.85	0.675	1.77463	
1	1	2	190	400	108	0.27	0.66	4.93754	
1	1	2	191	400	12	0.03	0.11	1.15802	
1	1	2	192	400	156	0.39	0.35	4.01034	
1	1	2	193	500	40	0.08	0.2	1.10808	
1	1	2	194	200	36	0.18	0.15	0.359321	
1	1	2	195	400	284	0.71	0.4	1.8505	
1	1	2	196	200	40	0.2	0.2	0.943119	
1	1	2	197	200	66	0.33	0.2	0.387852	
1	1	2	198	400	16	0.04	0.1	0.595326	
1	1	2	199	400	128	0.32	0.29	1.4648	
1	1	2	200	200	90	0.45	0.7	2.77985	
1	1	3	201	200	142	0.71	0.66	1.04725	
1	1	3	202	600	42	0.07	0.1	1.87363	
1	1	3	203	200	134	0.67	0.775	6.72654	
1	1	3	204	600	54	0.09	0.15	0.985712	
1	1	3	205	600	384	0.64	0.675	0.9067	
1	1	3	206	600	582	0.97	0.85	0.533548	
1	1	3	207	200	166	0.83	0.8	0.701117	
1	1	3	208	400	328	0.82	0.7	0.884229	
1	1	3	209	400	244	0.61	0.65	0.712908	
1	1	3	210	200	156	0.78	0.575	1.27613	
1	1	3	211	200	188	0.94	0.8	1.29497	
1	1	3	212	600	300	0.5	0.4	1.35378	
1	1	3	213	600	504	0.84	0.55	1.64271	
1	1	3	214	500	55	0.11	0.1	1.07718	
1	1	3	215	500	270	0.54	0.225	0.768383	
1	1	3	216	200	68	0.34	0.3	0.895302	
1	1	3	217	400	60	0.15	0.3	0.240308	
1	1	3	218	500	325	0.65	0.55	0.977854	
1	1	3	219	500	275	0.55	0.5	0.785006	
1	1	3	220	400	272	0.68	0.6	0.899004	
1	1	3	221	300	153	0.51	0.45	1.24396	
1	1	3	222	400	368	0.92	0.88	1.11892	
1	1	3	223	500	200	0.4	0.35	2.17748	
1	1	3	224	200	192	0.96	0.9	2.72999	
1	1	3	225	600	78	0.13	0.155	2.31733	
1	1	3	226	200	28	0.14	0.15	5.43632	
1	1	3	227	300	240	0.8	0.75	0.95323	
1	1	3	228	300	279	0.93	0.8	1.06776	
1	1	3	229	300	81	0.27	0.2	2.25672	
1	1	3	230	400	80	0.2	0.2	4.9029	
1	1	3	231	200	12	0.06	0.11	0.71357	
1	1	3	232	600	420	0.7	0.6	1.44067	
1	1	3	233	200	124	0.62	0.6	2.52949	
1	1	3	234	400	64	0.16	0.7	2.42364	
1	1	3	235	500	495	0.99	0.975	1.62148	
1	1	3	236	600	300	0.5	0.4	0.985269	
1	1	3	237	500	365	0.73	0.45	0.965207	
1	1	3	238	200	44	0.22	0.3	0.72631	
1	1	3	239	400	240	0.6	0.45	0.752477	
1	1	3	240	600	510	0.85	0.7	1.49968	
1	1	3	241	300	99	0.33	0.4	0.882419	
1	1	3	242	300	237	0.79	0.7	0.559839	
1	1	3	243	300	273	0.91	0.775	1.27692	
1	1	3	244	400	348	0.87	0.8	0.873944	
1	1	3	245	600	138	0.23	0.15	1.27415	
1	1	3	246	200	38	0.19	0.2	0.808864	
1	1	3	247	500	330	0.66	0.675	2.41178	
1	1	3	248	300	147	0.49	0.4	0.690733	
1	1	3	249	400	112	0.28	0.3	2.86192	
1	1	3	250	300	135	0.45	0.35	0.99191	
1	1	3	251	600	336	0.56	0.5	0.980997	
1	1	3	252	600	540	0.9	0.6	1.18588	
1	1	3	253	200	150	0.75	0.7	1.13482	
1	1	3	254	200	104	0.52	0.4	1.80186	
1	1	3	255	400	156	0.39	0.5	1.80035	
1	1	3	256	300	159	0.53	0.45	1.67514	
1	1	3	257	300	285	0.95	0.85	0.887662	
1	1	3	258	500	380	0.76	0.7	1.12705	
1	1	3	259	200	178	0.89	0.8	0.759755	
1	1	3	260	200	6	0.03	0.9	0.522911	
1	1	3	261	300	243	0.81	0.8	0.636087	
1	1	3	262	400	308	0.77	0.7	0.755251	
1	1	3	263	500	240	0.48	0.5	1.07834	
1	1	3	264	300	30	0.1	0.15	1.8514	
1	1	3	265	500	20	0.04	0.1	0.777762	
1	1	3	266	500	105	0.21	0.2	0.411076	
1	1	3	267	500	160	0.32	0.25	0.775654	
1	1	3	268	600	30	0.05	0.2	0.913529	
1	1	3	269	500	235	0.47	0.4	0.550846	
1	1	3	270	500	210	0.42	0.4	0.296278	
1	1	3	271	400	120	0.3	0.3	1.2581	
1	1	3	272	300	132	0.44	0.5	1.42489	
1	1	3	273	500	145	0.29	0.45	0.711914	
1	1	3	274	200	144	0.72	0.7	1.03312	
1	1	3	275	600	276	0.46	0.65	0.828044	
1	1	3	276	200	70	0.35	0.35	0.84716	
1	1	3	277	300	264	0.88	0.85	0.810409	
1	1	3	278	300	171	0.57	0.755	0.813504	
1	1	3	279	400	104	0.26	0.35	0.856728	
1	1	3	280	600	222	0.37	0.355	1.29759	
1	1	3	281	500	85	0.17	0.35	0.674437	
1	1	3	282	600	414	0.69	0.675	2.5399	
1	1	3	283	600	150	0.25	0.2	0.595262	
1	1	3	284	300	189	0.63	0.3	0.860808	
1	1	3	285	500	205	0.41	0.4	1.03005	
1	1	3	286	500	10	0.02	0.09	1.01302	
1	1	3	287	600	258	0.43	0.25	2.72419	
1	1	3	288	400	32	0.08	0.2	0.372378	
1	1	3	289	400	144	0.36	0.225	0.81171	
1	1	3	290	200	76	0.38	0.3	1.20302	
1	1	3	291	600	444	0.74	0.6	1.63817	
1	1	3	292	400	96	0.24	0.2	1.93099	
1	1	3	293	300	177	0.59	0.6	1.23731	
1	1	3	294	200	116	0.58	0.5	1.84037	
1	1	3	295	400	72	0.18	0.15	0.905148	
1	1	3	296	400	4	0.01	0.05	2.85436	
1	1	3	297	400	344	0.86	0.85	1.44819	
1	1	3	298	300	93	0.31	0.25	1.58362	
1	1	3	299	300	36	0.12	0.3	0.330166	
1	1	3	300	500	490	0.98	0.9	0.467688	
1	1	4	301	300	102	0.34	0.2	0.971077	
1	1	4	302	600	228	0.38	0.45	2.33019	
1	1	4	303	200	134	0.67	0.6	0.972951	
1	1	4	304	600	252	0.42	0.48	1.48598	
1	1	4	305	400	388	0.97	0.8	1.67275	
1	1	4	306	300	219	0.73	0.7	0.671279	
1	1	4	307	500	370	0.74	0.6	2.05049	
1	1	4	308	300	69	0.23	0.25	1.5173	
1	1	4	309	300	228	0.76	0.7	4.96975	
1	1	4	310	300	21	0.07	0.2	0.400395	
1	1	4	311	300	297	0.99	0.975	1.14594	
1	1	4	312	600	246	0.41	0.445	1.51063	
1	1	4	313	200	44	0.22	0.15	0.961763	
1	1	4	314	600	432	0.72	0.75	0.698778	
1	1	4	315	600	66	0.11	0.2	1.09733	
1	1	4	316	200	196	0.98	0.8	0.954198	
1	1	4	317	200	172	0.86	0.8	0.769001	
1	1	4	318	600	558	0.93	0.8	1.30214	
1	1	4	319	500	435	0.87	0.7	0.142789	
1	1	4	320	400	104	0.26	0.275	2.4125	
1	1	4	321	400	272	0.68	0.5	2.299	
1	1	4	322	400	52	0.13	0.2	0.691232	
1	1	4	323	400	280	0.7	0.6	0.980484	
1	1	4	324	600	510	0.85	0.65	0.597243	
1	1	4	325	600	540	0.9	0.7	0.682732	
1	1	4	326	300	168	0.56	0.8	0.38972	
1	1	4	327	300	282	0.94	0.9	0.672266	
1	1	4	328	200	94	0.47	0.3	0.991566	
1	1	4	329	200	114	0.57	0.4	0.230645	
1	1	4	330	400	60	0.15	0.2	0.290195	
1	1	4	331	300	99	0.33	0.2	1.59748	
1	1	4	332	500	160	0.32	0.3	0.755944	
1	1	4	333	600	294	0.49	0.475	1.5152	
1	1	4	334	600	48	0.08	0.1	0.719905	
1	1	4	335	200	190	0.95	0.8	0.751277	
1	1	4	336	500	15	0.03	0.1	0.34756	
1	1	4	337	400	124	0.31	0.2	0.273234	
1	1	4	338	500	305	0.61	0.3	1.06845	
1	1	4	339	500	410	0.82	0.8	0.824446	
1	1	4	340	500	150	0.3	0.3	0.695519	
1	1	4	341	500	400	0.8	0.85	1.18692	
1	1	4	342	200	108	0.54	0.4	1.78763	
1	1	4	343	300	60	0.2	0.2	1.06624	
1	1	4	344	500	185	0.37	0.4	1.25345	
1	1	4	345	400	184	0.46	0.475	3.11467	
1	1	4	346	500	345	0.69	0.7	2.24807	
1	1	4	347	200	8	0.04	0.09	1.41816	
1	1	4	348	600	474	0.79	0.775	0.832983	
1	1	4	349	600	372	0.62	0.675	1.09399	
1	1	4	350	300	192	0.64	0.49	2.41048	
1	1	4	351	200	10	0.05	0.1	6.02677	
1	1	4	352	400	108	0.27	0.3	0.933377	
1	1	4	353	300	267	0.89	0.79	1.1989	
1	1	4	354	200	162	0.81	0.8	1.17753	
1	1	4	355	300	54	0.18	0.25	2.40057	
1	1	4	356	600	426	0.71	0.65	1.12661	
1	1	4	357	400	116	0.29	0.45	2.56146	
1	1	4	358	600	450	0.75	0.459	1.01146	
1	1	4	359	200	20	0.1	0.2	0.688753	
