Subject#	Target_color	Block#	Trial#	Numerosity	N_target	P_true	P_reported	RT	
1	1	4	360	400	252	0.63	0.4	1.28406	
1	1	4	361	200	156	0.78	0.6	1.23888	
1	1	4	362	600	210	0.35	0.45	0.693609	
1	1	4	363	600	546	0.91	0.6	0.86894	
1	1	4	364	200	50	0.25	0.25	0.652491	
1	1	4	365	500	265	0.53	0.4	0.921501	
1	1	4	366	500	195	0.39	0.4	0.688852	
1	1	4	367	400	64	0.16	0.3	0.286361	
1	1	4	368	400	308	0.77	0.25	0.373797	
1	1	4	369	500	85	0.17	0.2	0.975057	
1	1	4	370	400	236	0.59	0.6	1.86406	
1	1	4	371	500	260	0.52	0.5	1.25398	
1	1	4	372	200	72	0.36	0.2	1.84423	
1	1	4	373	400	384	0.96	0.89	1.27908	
1	1	4	374	300	3	0.01	0.99	2.15969	
1	1	4	375	400	180	0.45	0.5	1.14393	
1	1	4	376	500	45	0.09	0.25	1.13913	
1	1	4	377	300	249	0.83	0.35	1.58232	
1	1	4	378	200	184	0.92	0.7	1.76292	
1	1	4	379	600	144	0.24	0.3	2.40944	
1	1	4	380	400	352	0.88	0.66	0.861827	
1	1	4	381	600	240	0.4	0.475	1.12511	
1	1	4	382	500	420	0.84	0.6	0.762128	
1	1	4	383	300	132	0.44	0.5	1.11334	
1	1	4	384	500	325	0.65	0.55	1.35464	
1	1	4	385	600	36	0.06	0.1	0.371651	
1	1	4	386	400	192	0.48	0.4	1.49377	
1	1	4	387	500	105	0.21	0.15	0.920647	
1	1	4	388	200	120	0.6	0.45	1.7297	
1	1	4	389	500	140	0.28	0.45	2.32224	
1	1	4	390	400	8	0.02	0.075	1.53892	
1	1	4	391	200	132	0.66	0.5	2.25934	
1	1	4	392	300	150	0.5	0.5	0.769907	
1	1	4	393	200	116	0.58	0.6	0.823166	
1	1	4	394	600	300	0.5	0.7	1.77048	
1	1	4	395	300	129	0.43	0.5	0.777342	
1	1	4	396	300	165	0.55	0.65	0.946543	
1	1	4	397	300	42	0.14	0.19	1.54981	
1	1	4	398	200	38	0.19	0.25	1.12233	
1	1	4	399	500	255	0.51	0.4	1.57254	
1	1	4	400	400	48	0.12	0.35	0.851328	
1	1	5	401	300	144	0.48	0.45	1.21645	
1	1	5	402	300	39	0.13	0.15	3.47215	
1	1	5	403	500	490	0.98	0.9	1.06568	
1	1	5	404	600	504	0.84	0.85	2.92086	
1	1	5	405	200	84	0.42	0.35	2.24635	
1	1	5	406	400	256	0.64	0.7	1.27835	
1	1	5	407	300	267	0.89	0.8	1.92535	
1	1	5	408	300	129	0.43	0.35	1.52107	
1	1	5	409	500	130	0.26	0.3	1.16717	
1	1	5	410	600	516	0.86	0.8	2.48437	
1	1	5	411	600	162	0.27	0.3	1.31018	
1	1	5	412	200	12	0.06	0.1	0.287077	
1	1	5	413	300	186	0.62	0.475	1.46176	
1	1	5	414	300	213	0.71	0.675	2.36031	
1	1	5	415	500	330	0.66	0.75	1.63215	
1	1	5	416	500	350	0.7	0.7	2.26501	
1	1	5	417	400	196	0.49	0.5	1.83507	
1	1	5	418	300	183	0.61	0.7	3.35364	
1	1	5	419	400	200	0.5	0.5	1.24473	
1	1	5	420	200	28	0.14	0.175	2.72328	
1	1	5	421	200	174	0.87	0.9	0.849233	
1	1	5	422	500	340	0.68	0.775	1.84656	
1	1	5	423	600	360	0.6	0.775	2.74449	
1	1	5	424	300	150	0.5	0.6	2.79945	
1	1	5	425	200	130	0.65	0.6	2.31696	
1	1	5	426	300	279	0.93	0.98	2.74321	
1	1	5	427	200	6	0.03	0.1	20.3041	
1	1	5	428	200	126	0.63	0.4	4.04495	
1	1	5	429	600	306	0.51	0.5	0.53811	
1	1	5	430	200	154	0.77	0.77	2.41553	
1	1	5	431	200	34	0.17	0.09	2.3113	
1	1	5	432	300	270	0.9	0.9	2.05598	
1	1	5	433	600	282	0.47	0.55	2.01615	
1	1	5	434	300	54	0.18	0.1	0.30205	
1	1	5	435	400	212	0.53	0.49	1.93662	
1	1	5	436	300	219	0.73	0.8	1.94718	
1	1	5	437	200	166	0.83	0.93	3.83348	
1	1	5	438	300	48	0.16	0.1	0.320904	
1	1	5	439	200	8	0.04	0.055	5.37751	
1	1	5	440	600	570	0.95	0.9	1.40205	
1	1	5	441	300	27	0.09	0.1	3.27402	
1	1	5	442	500	120	0.24	0.25	1.3678	
1	1	5	443	400	300	0.75	0.8	2.09244	
1	1	5	444	400	368	0.92	0.85	1.61304	
1	1	5	445	500	220	0.44	0.45	1.51992	
1	1	5	446	600	348	0.58	0.45	0.780429	
1	1	5	447	600	66	0.11	0.11	0.175474	
1	1	5	448	300	255	0.85	0.885	1.05495	
1	1	5	449	500	105	0.21	0.2	0.353585	
1	1	5	450	300	36	0.12	0.1	0.250181	
1	1	5	451	200	62	0.31	0.3	3.41526	
1	1	5	452	200	70	0.35	0.2	0.856929	
1	1	5	453	400	328	0.82	0.89	0.985723	
1	1	5	454	500	335	0.67	0.7	1.85497	
1	1	5	455	600	192	0.32	0.4	1.16976	
1	1	5	456	600	528	0.88	0.88	2.37066	
1	1	5	457	400	396	0.99	0.9	3.3041	
1	1	5	458	500	110	0.22	0.1	0.297931	
1	1	5	459	600	246	0.41	0.45	2.9287	
1	1	5	460	200	158	0.79	0.8	1.70322	
1	1	5	461	500	455	0.91	0.855	1.21453	
1	1	5	462	500	150	0.3	0.6	0.491643	
1	1	5	463	600	150	0.25	0.3	2.47647	
1	1	5	464	500	470	0.94	0.9	0.984395	
1	1	5	465	500	5	0.01	0.05	4.65526	
1	1	5	466	400	296	0.74	0.8	1.37005	
1	1	5	467	500	380	0.76	0.7	0.657849	
1	1	5	468	600	432	0.72	0.7	0.273088	
1	1	5	469	600	270	0.45	0.49	4.64879	
1	1	5	470	500	260	0.52	0.49	0.921888	
1	1	5	471	400	152	0.38	0.49	1.53068	
1	1	5	472	500	40	0.08	0.2	2.03898	
1	1	5	473	500	170	0.34	0.35	0.927567	
1	1	5	474	400	228	0.57	0.45	0.716345	
1	1	5	475	200	30	0.15	0.1	0.241962	
1	1	5	476	400	112	0.28	0.2	1.2401	
1	1	5	477	500	115	0.23	0.2	0.433113	
1	1	5	478	600	174	0.29	0.2	0.312459	
1	1	5	479	300	117	0.39	0.3	0.694132	
1	1	5	480	400	216	0.54	0.44	0.249705	
1	1	5	481	500	180	0.36	0.4	0.961084	
1	1	5	482	600	12	0.02	0.1	0.272491	
1	1	5	483	300	288	0.96	0.9	0.716621	
1	1	5	484	400	320	0.8	0.855	1.93358	
1	1	5	485	400	80	0.2	0.1	0.900878	
1	1	5	486	300	291	0.97	0.8	0.7981	
1	1	5	487	200	38	0.19	0.1	1.14284	
1	1	5	488	400	40	0.1	0.1	0.306102	
1	1	5	489	600	354	0.59	0.6	1.52757	
1	1	5	490	200	80	0.4	0.2	0.562242	
1	1	5	491	200	110	0.55	0.4	1.74997	
1	1	5	492	200	14	0.07	0.09	0.903748	
1	1	5	493	400	312	0.78	0.775	2.73612	
1	1	5	494	400	132	0.33	0.15	0.78354	
1	1	5	495	600	414	0.69	0.7	1.89827	
1	1	5	496	600	276	0.46	0.45	1.45737	
1	1	5	497	300	168	0.56	0.6	0.782405	
1	1	5	498	400	20	0.05	0.1	1.0377	
1	1	5	499	400	148	0.37	0.4	2.14252	
1	1	5	500	200	162	0.81	0.8	0.841266	
1	1	6	501	500	190	0.38	0.35	1.44849	
1	1	6	502	200	86	0.43	0.4	1.86474	
1	1	6	503	200	144	0.72	0.6	1.1639	
1	1	6	504	500	200	0.4	0.7	1.00115	
1	1	6	505	500	270	0.54	0.6	1.45228	
1	1	6	506	600	588	0.98	0.85	0.847309	
1	1	6	507	400	92	0.23	0.3	1.10867	
1	1	6	508	200	150	0.75	0.65	0.82171	
1	1	6	509	200	34	0.17	0.1	0.235109	
1	1	6	510	200	44	0.22	0.11	0.0912186	
1	1	6	511	300	138	0.46	0.3	0.958824	
1	1	6	512	300	192	0.64	0.55	1.56606	
1	1	6	513	300	291	0.97	0.9	0.612466	
1	1	6	514	400	120	0.3	0.45	1.15405	
1	1	6	515	600	372	0.62	0.75	1.03138	
1	1	6	516	500	470	0.94	0.75	3.19424	
1	1	6	517	500	105	0.21	0.3	0.285478	
1	1	6	518	400	196	0.49	0.49	1.81535	
1	1	6	519	500	20	0.04	0.1	0.769433	
1	1	6	520	300	168	0.56	0.3	0.970794	
1	1	6	521	600	402	0.67	0.7	0.412357	
1	1	6	522	200	102	0.51	0.6	1.3858	
1	1	6	523	500	415	0.83	0.75	1.57697	
1	1	6	524	400	48	0.12	0.2	0.923643	
1	1	6	525	300	234	0.78	0.755	0.901472	
1	1	6	526	200	40	0.2	0.1	0.926416	
1	1	6	527	500	40	0.08	0.15	0.69863	
1	1	6	528	400	396	0.99	0.95	1.81043	
1	1	6	529	600	90	0.15	0.2	1.65002	
1	1	6	530	600	492	0.82	0.8	1.04313	
1	1	6	531	500	435	0.87	0.8	0.642216	
1	1	6	532	200	146	0.73	0.8	0.911606	
1	1	6	533	300	156	0.52	0.6	1.82703	
1	1	6	534	600	330	0.55	0.45	1.21555	
1	1	6	535	200	96	0.48	0.45	1.10668	
