Subject#	Session#	Block#	Stim#	Trial#	Task	Numerosity	P_true	P_reported	x1	x2	CE	
3	1	1	240	1	1	600	0.25	0.396298	0	0	0	
3	1	1	267	2	1	300	0.95	0.96584	0	0	0	
3	1	1	259	3	1	500	0.75	0.635962	0	0	0	
3	1	1	210	4	1	600	0.9	0.931731	0	0	0	
3	1	1	156	5	1	200	0.95	0.989161	0	0	0	
3	1	1	73	6	1	400	0.25	0.364263	0	0	0	
3	1	1	150	7	1	600	0.75	0.721774	0	0	0	
3	1	1	85	8	1	600	0.5	0.593521	0	0	0	
3	1	1	43	9	1	400	0.9	0.836374	0	0	0	
3	1	1	74	10	1	500	0.25	0.297178	0	0	0	
3	1	1	130	11	1	600	0.25	0.350787	0	0	0	
3	1	1	8	12	1	400	0.05	0.0961949	0	0	0	
3	1	1	166	13	1	200	0.01	0.000515703	0	0	0	
3	1	1	172	14	1	300	0.05	0.00741091	0	0	0	
3	1	1	179	15	1	500	0.1	0.0737535	0	0	0	
3	1	1	306	16	1	200	0.6	0.597616	0	0	0	
3	1	1	2	17	1	300	0.01	0.00287308	0	0	0	
3	1	1	157	18	1	300	0.95	0.991691	0	0	0	
3	1	1	9	19	1	500	0.05	0.0518693	0	0	0	
3	1	1	114	20	1	500	0.01	0.0101442	0	0	0	
3	1	1	192	21	1	300	0.5	0.645763	0	0	0	
3	1	1	203	22	1	400	0.75	0.783557	0	0	0	
3	1	1	96	23	1	200	0.9	0.852491	0	0	0	
3	1	1	186	24	1	200	0.4	0.397381	0	0	0	
3	1	1	205	25	1	600	0.75	0.741973	0	0	0	
3	1	1	118	26	1	400	0.05	0.0283575	0	0	0	
3	1	1	108	27	1	400	0.99	0.995645	0	0	0	
3	1	1	213	28	1	400	0.95	0.985039	0	0	0	
3	1	1	30	29	1	600	0.5	0.528815	0	0	0	
3	1	1	71	30	1	200	0.25	0.356045	0	0	0	
3	1	1	207	31	1	300	0.9	0.904048	0	0	0	
3	1	1	234	32	1	500	0.1	0.0930282	0	0	0	
3	1	1	289	33	1	500	0.1	0.0772564	0	0	0	
3	1	1	171	34	1	200	0.05	0.0427273	0	0	0	
3	1	1	117	35	1	300	0.05	0.0118735	0	0	0	
3	1	1	83	36	1	400	0.5	0.761474	0	0	0	
3	1	1	158	37	1	400	0.95	0.877029	0	0	0	
3	1	1	128	38	1	400	0.25	0.260941	0	0	0	
3	1	1	323	39	1	400	0.95	0.882682	0	0	0	
3	1	1	153	40	1	400	0.9	0.921965	0	0	0	
3	1	1	169	41	1	500	0.01	0.000157453	0	0	0	
